"","GW030130_1","GW030131_1","GW030132_2","GW036186_1","GW036187_1","GW030129_1","GW030130_2","GW030133_1","GW030134_1"
"scale",9.36293334484524e-05,0.000111386751435278,0.000172346649301144,0.000544794664550323,0.000362538506003684,0,0,0,0
"intercept",-5.32571926429761,-5.48909632814653,-6.21942514264154,-10.0739542475147,-8.54388124896328,0,0,0,0
