Model Zone,	GwID,		GwID,		GwID,		GwID,		GwID
gw_shallow,	GW030130_1, GW030131_1, GW030132_2, GW036186_1, GW036187_1		
gw_deep,	GW030129_1, GW030130_2, GW030133_1,	GW030134_1, NA
