date,sw_419051
1910-01-01,26.100000000000001
1910-01-02,26.100000000000001
1910-01-03,27.75
1910-01-04,28.050000000000001
1910-01-05,29.150000000000002
1910-01-06,29.449999999999999
1910-01-07,28.350000000000001
1910-01-08,27.199999999999999
1910-01-09,27.199999999999999
1910-01-10,28.050000000000001
1910-01-11,28.600000000000001
1910-01-12,25.550000000000001
1910-01-13,22.5
1910-01-14,22.75
1910-01-15,23.050000000000001
1910-01-16,23.050000000000001
1910-01-17,26.949999999999999
1910-01-18,27.199999999999999
1910-01-19,27.199999999999999
1910-01-20,26.650000000000002
1910-01-21,29.699999999999999
1910-01-22,28.050000000000001
1910-01-23,28.050000000000001
1910-01-24,25.25
1910-01-25,26.399999999999999
1910-01-26,22.200000000000003
1910-01-27,21.649999999999999
1910-01-28,28.050000000000001
1910-01-29,27.75
1910-01-30,27.75
1910-01-31,24.450000000000003
1910-02-01,25.0
1910-02-02,25.850000000000001
1910-02-03,26.650000000000002
1910-02-04,27.75
1910-02-05,27.75
1910-02-06,27.75
1910-02-07,26.949999999999999
1910-02-08,27.199999999999999
1910-02-09,28.050000000000001
1910-02-10,28.050000000000001
1910-02-11,27.5
1910-02-12,26.100000000000001
1910-02-13,26.100000000000001
1910-02-14,26.650000000000002
1910-02-15,26.949999999999999
1910-02-16,26.949999999999999
1910-02-17,26.399999999999999
1910-02-18,27.199999999999999
1910-02-19,27.5
1910-02-20,27.5
1910-02-21,27.5
1910-02-22,26.399999999999999
1910-02-23,25.550000000000001
1910-02-24,26.949999999999999
1910-02-25,27.199999999999999
1910-02-26,26.949999999999999
1910-02-27,26.949999999999999
1910-02-28,26.949999999999999
1910-03-01,26.949999999999999
1910-03-02,27.5
1910-03-03,29.150000000000002
1910-03-04,26.399999999999999
1910-03-05,26.100000000000001
1910-03-06,26.100000000000001
1910-03-07,26.949999999999999
1910-03-08,25.0
1910-03-09,24.700000000000003
1910-03-10,24.450000000000003
1910-03-11,23.350000000000001
1910-03-12,21.950000000000003
1910-03-13,21.950000000000003
1910-03-14,24.700000000000003
1910-03-15,23.350000000000001
1910-03-16,20.25
1910-03-17,23.899999999999999
1910-03-18,24.450000000000003
1910-03-19,25.850000000000001
1910-03-20,25.850000000000001
1910-03-21,25.850000000000001
1910-03-22,24.149999999999999
1910-03-23,23.899999999999999
1910-03-24,25.0
1910-03-25,25.0
1910-03-26,24.450000000000003
1910-03-27,24.450000000000003
1910-03-28,24.700000000000003
1910-03-29,25.25
1910-03-30,23.899999999999999
1910-03-31,24.149999999999999
1910-04-01,24.450000000000003
1910-04-02,24.149999999999999
1910-04-03,24.149999999999999
1910-04-04,23.899999999999999
1910-04-05,24.149999999999999
1910-04-06,23.600000000000001
1910-04-07,24.450000000000003
1910-04-08,24.450000000000003
1910-04-09,23.600000000000001
1910-04-10,23.600000000000001
1910-04-11,25.0
1910-04-12,24.700000000000003
1910-04-13,25.0
1910-04-14,25.0
1910-04-15,25.0
1910-04-16,25.550000000000001
1910-04-17,25.550000000000001
1910-04-18,25.0
1910-04-19,25.0
1910-04-20,20.850000000000001
1910-04-21,22.5
1910-04-22,23.899999999999999
1910-04-23,24.700000000000003
1910-04-24,24.700000000000003
1910-04-25,24.700000000000003
1910-04-26,24.450000000000003
1910-04-27,24.450000000000003
1910-04-28,26.949999999999999
1910-04-29,23.899999999999999
1910-04-30,25.0
1910-05-01,25.0
1910-05-02,25.25
1910-05-03,24.149999999999999
1910-05-04,23.050000000000001
1910-05-05,22.75
1910-05-06,23.050000000000001
1910-05-07,21.100000000000001
1910-05-08,21.100000000000001
1910-05-09,21.399999999999999
1910-05-10,21.399999999999999
1910-05-11,20.0
1910-05-12,22.200000000000003
1910-05-13,22.200000000000003
1910-05-14,23.050000000000001
1910-05-15,23.050000000000001
1910-05-16,21.950000000000003
1910-05-17,22.5
1910-05-18,19.450000000000003
1910-05-19,13.6
1910-05-20,11.65
1910-05-21,12.5
1910-05-22,12.5
1910-05-23,15.0
1910-05-24,16.399999999999999
1910-05-25,16.100000000000001
1910-05-26,17.5
1910-05-27,19.149999999999999
1910-05-28,17.25
1910-05-29,17.25
1910-05-30,13.6
1910-05-31,14.75
1910-06-01,13.100000000000001
1910-06-02,13.899999999999999
1910-06-03,11.4
1910-06-04,8.6499999999999986
1910-06-05,8.6499999999999986
1910-06-06,5.8000000000000007
1910-06-07,8.3499999999999996
1910-06-08,10.800000000000001
1910-06-09,11.950000000000001
1910-06-10,12.5
1910-06-11,12.200000000000001
1910-06-12,12.200000000000001
1910-06-13,12.5
1910-06-14,9.1500000000000004
1910-06-15,10.25
1910-06-16,14.149999999999999
1910-06-17,13.350000000000001
1910-06-18,12.800000000000001
1910-06-19,12.800000000000001
1910-06-20,15.550000000000001
1910-06-21,14.199999999999999
1910-06-22,14.449999999999999
1910-06-23,13.899999999999999
1910-06-24,12.5
1910-06-25,12.25
1910-06-26,12.25
1910-06-27,10.0
1910-06-28,10.300000000000001
1910-06-29,10.0
1910-06-30,11.350000000000001
1910-07-01,9.1999999999999993
1910-07-02,10.0
1910-07-03,10.0
1910-07-04,7.5
1910-07-05,8.3499999999999996
1910-07-06,9.1500000000000004
1910-07-07,8.5999999999999996
1910-07-08,10.6
1910-07-09,9.6999999999999993
1910-07-10,9.6999999999999993
1910-07-11,8.3000000000000007
1910-07-12,9.75
1910-07-13,9.6999999999999993
1910-07-14,11.399999999999999
1910-07-15,11.699999999999999
1910-07-16,8.6500000000000004
1910-07-17,8.6500000000000004
1910-07-18,8.3499999999999996
1910-07-19,9.4499999999999993
