date,gw_shallow,gw_deep
1989-01-01,4.32895799,0
1989-01-02,4.32895799,0
1989-01-03,4.32895799,0
1989-01-04,4.32895799,0
1989-01-05,4.32895799,0
1989-01-06,4.32895799,0
1989-01-07,4.32895799,0
1989-01-08,4.32895799,0
1989-01-09,4.32895799,0
1989-01-10,4.32895799,0
1989-01-11,4.32895799,0
1989-01-12,4.32895799,0
1989-01-13,4.32895799,0
1989-01-14,4.32895799,0
1989-01-15,4.32895799,0
1989-01-16,4.32895799,0
1989-01-17,4.32895799,0
1989-01-18,4.32895799,0
1989-01-19,4.32895799,0
1989-01-20,4.32895799,0
1989-01-21,4.32895799,0
1989-01-22,4.32895799,0
1989-01-23,4.32895799,0
1989-01-24,4.32895799,0
1989-01-25,4.32895799,0
1989-01-26,4.32895799,0
1989-01-27,4.32895799,0
1989-01-28,4.32895799,0
1989-01-29,4.32895799,0
1989-01-30,4.32895799,0
1989-01-31,4.32895799,0
1989-02-01,4.32895799,0
1989-02-02,4.32895799,0
1989-02-03,4.32895799,0
1989-02-04,4.32895799,0
1989-02-05,4.32895799,0
1989-02-06,4.32895799,0
1989-02-07,4.32895799,0
1989-02-08,4.32895799,0
1989-02-09,4.32895799,0
1989-02-10,4.32895799,0
1989-02-11,4.32895799,0
1989-02-12,4.32895799,0
1989-02-13,4.32895799,0
1989-02-14,4.32895799,0
1989-02-15,4.32895799,0
1989-02-16,4.32895799,0
1989-02-17,4.32895799,0
1989-02-18,4.32895799,0
1989-02-19,4.32895799,0
1989-02-20,4.32895799,0
1989-02-21,4.32895799,0
1989-02-22,4.32895799,0
1989-02-23,4.32895799,0
1989-02-24,4.32895799,0
1989-02-25,4.32895799,0
1989-02-26,4.32895799,0
1989-02-27,4.32895799,0
1989-02-28,4.32895799,0
1989-03-01,4.32895799,0
1989-03-02,4.32895799,0
1989-03-03,4.32895799,0
1989-03-04,4.32895799,0
1989-03-05,4.32895799,0
1989-03-06,4.32895799,0
1989-03-07,4.32895799,0
1989-03-08,4.32895799,0
1989-03-09,4.32895799,0
1989-03-10,4.32895799,0
1989-03-11,4.32895799,0
1989-03-12,4.32895799,0
1989-03-13,4.32895799,0
1989-03-14,4.32895799,0
1989-03-15,4.32895799,0
1989-03-16,4.32895799,0
1989-03-17,4.32895799,0
1989-03-18,4.32895799,0
1989-03-19,4.32895799,0
1989-03-20,4.32895799,0
1989-03-21,4.32895799,0
1989-03-22,4.32895799,0
1989-03-23,4.32895799,0
1989-03-24,4.32895799,0
1989-03-25,4.32895799,0
1989-03-26,4.32895799,0
1989-03-27,4.32895799,0
1989-03-28,4.32895799,0
1989-03-29,4.32895799,0
1989-03-30,4.32895799,0
1989-03-31,4.32895799,0
1989-04-01,4.32895799,0
1989-04-02,4.32895799,0
1989-04-03,4.32895799,0
1989-04-04,4.32895799,0
1989-04-05,4.32895799,0
1989-04-06,4.32895799,0
1989-04-07,4.32895799,0
1989-04-08,4.32895799,0
1989-04-09,4.32895799,0
1989-04-10,4.32895799,0
1989-04-11,4.32895799,0
1989-04-12,4.32895799,0
1989-04-13,4.32895799,0
1989-04-14,4.32895799,0
1989-04-15,4.32895799,0
1989-04-16,4.32895799,0
1989-04-17,4.32895799,0
1989-04-18,4.32895799,0
1989-04-19,4.32895799,0
1989-04-20,4.32895799,0
1989-04-21,4.32895799,0
1989-04-22,4.32895799,0
1989-04-23,4.32895799,0
1989-04-24,4.32895799,0
1989-04-25,4.32895799,0
1989-04-26,4.32895799,0
1989-04-27,4.32895799,0
1989-04-28,4.32895799,0
1989-04-29,4.32895799,0
1989-04-30,4.32895799,0
1989-05-01,4.32895799,0
