"Time","GW036186",""
"and","110.00",""
"Date","Bore level below MP",""
"","Mean","Qual"
00:00:00 28/08/2005,      10.665,      4
00:00:00 29/08/2005,      10.664,      4
00:00:00 30/08/2005,      10.649,      4
00:00:00 31/08/2005,      10.639,      4
00:00:00 01/09/2005,      10.664,      4
00:00:00 02/09/2005,      10.660,      4
00:00:00 03/09/2005,      10.651,      4
00:00:00 04/09/2005,      10.620,      4
00:00:00 05/09/2005,      10.612,      4
00:00:00 06/09/2005,      10.579,      4
00:00:00 07/09/2005,      10.539,      4
00:00:00 08/09/2005,      10.494,      4
00:00:00 09/09/2005,      10.444,      4
00:00:00 10/09/2005,      10.386,      4
00:00:00 11/09/2005,      10.336,      4
00:00:00 12/09/2005,      10.325,      4
00:00:00 13/09/2005,      10.295,      4
00:00:00 14/09/2005,      10.251,      4
00:00:00 15/09/2005,      10.208,      4
00:00:00 16/09/2005,      10.157,      4
00:00:00 17/09/2005,      10.139,      4
00:00:00 18/09/2005,      10.114,      4
00:00:00 19/09/2005,      10.077,      4
00:00:00 20/09/2005,      10.035,      4
00:00:00 21/09/2005,      10.011,      4
00:00:00 22/09/2005,       9.976,      4
00:00:00 23/09/2005,       9.927,      4
00:00:00 24/09/2005,       9.881,      4
00:00:00 25/09/2005,       9.856,      4
00:00:00 26/09/2005,       9.812,      4
00:00:00 27/09/2005,       9.797,      4
00:00:00 28/09/2005,       9.761,      4
00:00:00 29/09/2005,       9.725,      4
00:00:00 30/09/2005,       9.724,      4
00:00:00 01/10/2005,       9.689,      4
00:00:00 02/10/2005,       9.661,      4
00:00:00 03/10/2005,       9.630,      4
00:00:00 04/10/2005,       9.619,      4
00:00:00 05/10/2005,       9.597,      4
00:00:00 06/10/2005,       9.550,      4
00:00:00 07/10/2005,       9.529,      4
00:00:00 08/10/2005,       9.480,      4
00:00:00 09/10/2005,       9.495,      4
00:00:00 10/10/2005,       9.505,      4
00:00:00 11/10/2005,       9.493,      4
00:00:00 12/10/2005,       9.491,      4
00:00:00 13/10/2005,       9.495,      4
00:00:00 14/10/2005,       9.495,      4
00:00:00 15/10/2005,       9.478,      4
00:00:00 16/10/2005,       9.451,      4
00:00:00 17/10/2005,       9.439,      4
00:00:00 18/10/2005,       9.430,      4
00:00:00 19/10/2005,       9.409,      4
00:00:00 20/10/2005,       9.390,      4
00:00:00 21/10/2005,       9.369,      4
00:00:00 22/10/2005,       9.349,      4
00:00:00 23/10/2005,       9.344,      4
00:00:00 24/10/2005,       9.310,      4
00:00:00 25/10/2005,       9.296,      4
00:00:00 26/10/2005,       9.300,      4
00:00:00 27/10/2005,       9.314,      4
00:00:00 28/10/2005,       9.340,      4
00:00:00 29/10/2005,       9.339,      4
00:00:00 30/10/2005,       9.331,      4
00:00:00 31/10/2005,       9.311,      4
00:00:00 01/11/2005,       9.292,      4
00:00:00 02/11/2005,       9.274,      4
00:00:00 03/11/2005,       9.251,      4
00:00:00 04/11/2005,       9.233,      4
00:00:00 05/11/2005,       9.206,      4
00:00:00 06/11/2005,       9.183,      4
00:00:00 07/11/2005,       9.173,      4
00:00:00 08/11/2005,       9.147,      4
00:00:00 09/11/2005,       9.127,      4
00:00:00 10/11/2005,       9.102,      4
00:00:00 11/11/2005,       9.110,      4
00:00:00 12/11/2005,       9.109,      4
00:00:00 13/11/2005,       9.095,      4
00:00:00 14/11/2005,       9.081,      4
00:00:00 15/11/2005,       9.055,      4
