"Time","GW036186",""
"and","110.00",""
"Date","Bore level below MP",""
"","Mean","Qual"
00:00:00 14/01/2007,      11.322,    100
00:00:00 15/01/2007,      11.366,    100
00:00:00 16/01/2007,      11.378,    100
00:00:00 17/01/2007,      11.372,    100
00:00:00 18/01/2007,      11.362,    100
00:00:00 19/01/2007,      11.358,    100
00:00:00 20/01/2007,      11.373,    100
00:00:00 21/01/2007,      11.395,    100
00:00:00 22/01/2007,      11.419,    100
00:00:00 23/01/2007,      11.448,    100
00:00:00 24/01/2007,      11.471,    100
00:00:00 25/01/2007,      11.491,    100
00:00:00 26/01/2007,      11.509,    100
00:00:00 27/01/2007,      11.510,    100
00:00:00 28/01/2007,      11.536,    100
00:00:00 29/01/2007,      11.562,    100
00:00:00 30/01/2007,      11.570,    100
00:00:00 31/01/2007,      11.664,    100
00:00:00 01/02/2007,      11.897,    100
00:00:00 02/02/2007,      11.853,    100
00:00:00 03/02/2007,      12.011,    100
00:00:00 04/02/2007,      12.048,    100
00:00:00 05/02/2007,      12.083,    100
00:00:00 06/02/2007,      12.105,    100
00:00:00 07/02/2007,      12.080,    100
00:00:00 08/02/2007,      11.856,    100
00:00:00 09/02/2007,      11.825,    100
00:00:00 10/02/2007,      11.822,    100
00:00:00 11/02/2007,      11.825,    100
00:00:00 12/02/2007,      11.833,    100
00:00:00 13/02/2007,      11.855,    100
00:00:00 14/02/2007,      11.871,    100
00:00:00 15/02/2007,      11.879,    100
00:00:00 16/02/2007,      11.899,    100
00:00:00 17/02/2007,      11.917,    100
00:00:00 18/02/2007,      11.935,    100
00:00:00 19/02/2007,      11.955,    100
00:00:00 20/02/2007,      11.979,    100
00:00:00 21/02/2007,      11.979,    100
00:00:00 22/02/2007,      11.993,    100
00:00:00 23/02/2007,      11.996,    100
00:00:00 24/02/2007,      11.990,    100
00:00:00 25/02/2007,      12.000,    100
00:00:00 26/02/2007,      12.014,    100
00:00:00 27/02/2007,      12.028,    100
00:00:00 28/02/2007,      12.031,    100
00:00:00 01/03/2007,      12.031,    100
00:00:00 02/03/2007,      12.017,    100
00:00:00 03/03/2007,      12.002,    100
00:00:00 04/03/2007,      11.991,    100
00:00:00 05/03/2007,      11.985,    100
00:00:00 06/03/2007,      11.983,    100
00:00:00 07/03/2007,      11.982,    100
00:00:00 08/03/2007,      11.973,    100
00:00:00 09/03/2007,      11.970,    100
00:00:00 10/03/2007,      11.962,    100
00:00:00 11/03/2007,      11.970,    100
00:00:00 12/03/2007,      11.975,    100
00:00:00 13/03/2007,      12.017,    100
00:00:00 14/03/2007,      12.080,    100
00:00:00 15/03/2007,      12.102,    100
00:00:00 16/03/2007,      12.113,    100
00:00:00 17/03/2007,      12.121,    100
00:00:00 18/03/2007,      12.134,    100
00:00:00 19/03/2007,      12.147,    100
00:00:00 20/03/2007,      12.150,    100
00:00:00 21/03/2007,      12.161,    100
00:00:00 22/03/2007,      12.167,    100
00:00:00 23/03/2007,      12.173,    100
00:00:00 24/03/2007,      12.174,    100
00:00:00 25/03/2007,      12.187,    100
00:00:00 26/03/2007,      12.202,    100
00:00:00 27/03/2007,      12.210,    100
00:00:00 28/03/2007,      12.213,    100
00:00:00 29/03/2007,      12.218,    100
00:00:00 30/03/2007,      12.221,    100
00:00:00 31/03/2007,      12.211,    100
00:00:00 01/04/2007,      12.210,    100
00:00:00 02/04/2007,      12.207,    100
00:00:00 03/04/2007,      12.206,    100
00:00:00 04/04/2007,      12.200,    100
00:00:00 05/04/2007,      12.198,    100
00:00:00 06/04/2007,      12.196,    100
00:00:00 07/04/2007,      12.201,    100
00:00:00 08/04/2007,      12.205,    100
00:00:00 09/04/2007,      12.207,    100
00:00:00 10/04/2007,      12.209,    100
00:00:00 11/04/2007,      12.214,    100
00:00:00 12/04/2007,      12.219,    100
00:00:00 13/04/2007,      12.222,    100
00:00:00 14/04/2007,      12.221,    100
00:00:00 15/04/2007,      12.219,    100
00:00:00 16/04/2007,      12.215,    100
00:00:00 17/04/2007,      12.219,    100
00:00:00 18/04/2007,      12.228,    100
00:00:00 19/04/2007,      12.225,    100
00:00:00 20/04/2007,      12.226,    100
00:00:00 21/04/2007,      12.228,    100
00:00:00 22/04/2007,      12.227,    100
00:00:00 23/04/2007,      12.232,    100
00:00:00 24/04/2007,      12.230,    100
00:00:00 25/04/2007,      12.229,    100
00:00:00 26/04/2007,      12.231,    100
00:00:00 27/04/2007,      12.223,    100
00:00:00 28/04/2007,      12.220,    100
00:00:00 29/04/2007,      12.231,    100
00:00:00 30/04/2007,      12.238,    100
00:00:00 01/05/2007,      12.242,    100
00:00:00 02/05/2007,      12.243,    100
00:00:00 03/05/2007,      12.244,    100
00:00:00 04/05/2007,      12.251,    100
00:00:00 05/05/2007,      12.256,    100
00:00:00 06/05/2007,      12.255,    100
00:00:00 07/05/2007,      12.260,    100
00:00:00 08/05/2007,      12.262,    100
00:00:00 09/05/2007,      12.266,    100
00:00:00 10/05/2007,      12.265,    100
00:00:00 11/05/2007,      12.269,    100
00:00:00 12/05/2007,      12.268,    100
00:00:00 13/05/2007,      12.269,    100
00:00:00 14/05/2007,      12.277,    100
00:00:00 15/05/2007,      12.280,    100
00:00:00 16/05/2007,      12.283,    100
00:00:00 17/05/2007,      12.286,    100
00:00:00 18/05/2007,      12.274,    100
00:00:00 19/05/2007,      12.285,    100
00:00:00 20/05/2007,      12.290,    100
00:00:00 21/05/2007,      12.295,    100
00:00:00 22/05/2007,      12.301,    100
00:00:00 23/05/2007,      12.305,    100
00:00:00 24/05/2007,      12.307,    100
00:00:00 25/05/2007,      12.311,    100
00:00:00 26/05/2007,      12.315,    100
00:00:00 27/05/2007,      12.320,    100
00:00:00 28/05/2007,      12.318,    100
00:00:00 29/05/2007,      12.320,    100
00:00:00 30/05/2007,      12.320,    100
00:00:00 31/05/2007,      12.321,    100
00:00:00 01/06/2007,      12.322,    100
00:00:00 02/06/2007,      12.324,    100
00:00:00 03/06/2007,      12.320,    100
00:00:00 04/06/2007,      12.322,    100
00:00:00 05/06/2007,      12.324,    100
00:00:00 06/06/2007,      12.318,    100
00:00:00 07/06/2007,      12.307,    100
00:00:00 08/06/2007,      12.301,    100
00:00:00 09/06/2007,      12.294,    100
00:00:00 10/06/2007,      12.306,    100
00:00:00 11/06/2007,      12.308,    100
00:00:00 12/06/2007,      12.307,    100
00:00:00 13/06/2007,      12.308,    100
00:00:00 14/06/2007,      12.305,    100
00:00:00 15/06/2007,      12.307,    100
00:00:00 16/06/2007,      12.305,    100
00:00:00 17/06/2007,      12.307,    100
00:00:00 18/06/2007,      12.300,    100
00:00:00 19/06/2007,      12.303,    100
00:00:00 20/06/2007,      12.312,    100
00:00:00 21/06/2007,      12.313,    100
00:00:00 22/06/2007,      12.322,    100
00:00:00 23/06/2007,      12.324,    100
00:00:00 24/06/2007,      12.326,    100
00:00:00 25/06/2007,      12.322,    100
00:00:00 26/06/2007,      12.318,    100
00:00:00 27/06/2007,      12.322,    100
00:00:00 28/06/2007,      12.318,    100
00:00:00 29/06/2007,      12.329,    100
00:00:00 30/06/2007,      12.336,    100
00:00:00 01/07/2007,      12.341,    100
00:00:00 02/07/2007,      12.347,    100
00:00:00 03/07/2007,      12.349,    100
00:00:00 04/07/2007,      12.343,    100
00:00:00 05/07/2007,      12.340,    100
00:00:00 06/07/2007,      12.346,    100
00:00:00 07/07/2007,      12.341,    100
00:00:00 08/07/2007,      12.338,    100
00:00:00 09/07/2007,      12.343,    100
00:00:00 10/07/2007,      12.344,    100
00:00:00 11/07/2007,      12.347,    100
00:00:00 12/07/2007,      12.344,    100
00:00:00 13/07/2007,      12.353,    100
00:00:00 14/07/2007,      12.344,    100
00:00:00 15/07/2007,      12.346,    100
00:00:00 16/07/2007,      12.343,    100
00:00:00 17/07/2007,      12.343,    100
00:00:00 18/07/2007,      12.346,    100
00:00:00 19/07/2007,      12.343,    100
00:00:00 20/07/2007,      12.347,    100
00:00:00 21/07/2007,      12.347,    100
00:00:00 22/07/2007,      12.352,    100
00:00:00 23/07/2007,      12.351,    100
00:00:00 24/07/2007,      12.345,    100
00:00:00 25/07/2007,      12.346,    100
00:00:00 26/07/2007,      12.345,    100
00:00:00 27/07/2007,      12.346,    100
00:00:00 28/07/2007,      12.341,    100
00:00:00 29/07/2007,      12.341,    100
00:00:00 30/07/2007,      12.346,    100
00:00:00 31/07/2007,      12.344,    100
00:00:00 01/08/2007,      12.342,    100
00:00:00 02/08/2007,      12.348,    100
00:00:00 03/08/2007,      12.345,    100
00:00:00 04/08/2007,      12.351,    100
00:00:00 05/08/2007,      12.351,    100
00:00:00 06/08/2007,      12.350,    100
00:00:00 07/08/2007,      12.345,    100
00:00:00 08/08/2007,      12.337,    100
00:00:00 09/08/2007,      12.340,    100
00:00:00 10/08/2007,      12.342,    100
00:00:00 11/08/2007,      12.345,    100
00:00:00 12/08/2007,      12.351,    100
00:00:00 13/08/2007,      12.352,    100
00:00:00 14/08/2007,      12.351,    100
00:00:00 15/08/2007,      12.354,    100
00:00:00 16/08/2007,      12.343,    100
00:00:00 17/08/2007,      12.348,    100
00:00:00 18/08/2007,      12.355,    100
00:00:00 19/08/2007,      12.351,    100
00:00:00 20/08/2007,      12.337,    100
00:00:00 21/08/2007,      12.349,    100
00:00:00 22/08/2007,      12.357,    100
00:00:00 23/08/2007,      12.359,    100
00:00:00 24/08/2007,      12.358,    100
00:00:00 25/08/2007,      12.361,    100
00:00:00 26/08/2007,      12.368,    100
00:00:00 27/08/2007,      12.373,    100
00:00:00 28/08/2007,      12.375,    100
00:00:00 29/08/2007,      12.382,    100
00:00:00 30/08/2007,      12.363,    100
00:00:00 31/08/2007,      12.302,    100
00:00:00 01/09/2007,      12.314,    100
00:00:00 02/09/2007,      12.328,    100
00:00:00 03/09/2007,      12.341,    100
00:00:00 04/09/2007,      12.355,    100
00:00:00 05/09/2007,      12.368,    100
00:00:00 06/09/2007,      12.381,    100
00:00:00 07/09/2007,      12.395,    100
00:00:00 08/09/2007,      12.408,    100
00:00:00 09/09/2007,      12.422,    100
00:00:00 10/09/2007,      12.435,    100
00:00:00 11/09/2007,      12.449,    100
00:00:00 12/09/2007,      12.462,    100
00:00:00 13/09/2007,      12.476,    100
00:00:00 14/09/2007,      12.489,    100
00:00:00 15/09/2007,      12.503,    100
00:00:00 16/09/2007,      12.516,    100
00:00:00 17/09/2007,      12.530,    100
00:00:00 18/09/2007,      12.543,    100
00:00:00 19/09/2007,      12.557,    100
00:00:00 20/09/2007,      12.569,    100
00:00:00 21/09/2007,      12.578,    100
00:00:00 22/09/2007,      12.586,    100
00:00:00 23/09/2007,      12.594,    100
00:00:00 24/09/2007,      12.601,    100
00:00:00 25/09/2007,      12.609,    100
00:00:00 26/09/2007,      12.610,    100
00:00:00 27/09/2007,      12.610,    100
00:00:00 28/09/2007,      12.611,    100
00:00:00 29/09/2007,      12.621,    100
00:00:00 30/09/2007,      12.633,    100
00:00:00 01/10/2007,      12.645,    100
00:00:00 02/10/2007,      12.657,    100
00:00:00 03/10/2007,      12.669,    100
00:00:00 04/10/2007,      12.680,    100
00:00:00 05/10/2007,      12.692,    100
00:00:00 06/10/2007,      12.704,    100
00:00:00 07/10/2007,      12.716,    100
00:00:00 08/10/2007,      12.727,    100
00:00:00 09/10/2007,      12.739,    100
00:00:00 10/10/2007,      12.752,    100
00:00:00 11/10/2007,      12.765,    100
00:00:00 12/10/2007,      12.780,    100
00:00:00 13/10/2007,      12.806,    100
00:00:00 14/10/2007,      12.827,    100
00:00:00 15/10/2007,      12.845,    100
00:00:00 16/10/2007,      12.862,    100
00:00:00 17/10/2007,      12.871,    100
00:00:00 18/10/2007,      12.862,    100
00:00:00 19/10/2007,      12.936,    100
00:00:00 20/10/2007,      13.145,    100
00:00:00 21/10/2007,      13.193,    100
00:00:00 22/10/2007,      13.239,    100
00:00:00 23/10/2007,      13.269,    100
00:00:00 24/10/2007,      13.216,    100
00:00:00 25/10/2007,      12.989,    100
00:00:00 26/10/2007,      12.929,    100
00:00:00 27/10/2007,      12.897,    100
00:00:00 28/10/2007,      12.875,    100
00:00:00 29/10/2007,      12.859,    100
00:00:00 30/10/2007,      12.851,    100
00:00:00 31/10/2007,      12.845,    100
00:00:00 01/11/2007,      12.839,    100
00:00:00 02/11/2007,      12.833,    100
00:00:00 03/11/2007,      12.828,    100
00:00:00 04/11/2007,      12.826,    100
00:00:00 05/11/2007,      12.945,    100
00:00:00 06/11/2007,      13.184,    100
00:00:00 07/11/2007,      13.036,    100
00:00:00 08/11/2007,      12.882,    100
00:00:00 09/11/2007,      12.856,    100
00:00:00 10/11/2007,      12.844,    100
00:00:00 11/11/2007,      12.837,    100
00:00:00 12/11/2007,      12.835,    100
00:00:00 13/11/2007,      12.831,    100
00:00:00 14/11/2007,      12.915,    100
00:00:00 15/11/2007,      13.001,    100
00:00:00 16/11/2007,      12.892,    100
00:00:00 17/11/2007,      12.888,    100
00:00:00 18/11/2007,      12.898,    100
00:00:00 19/11/2007,      12.910,    100
00:00:00 20/11/2007,      12.916,    100
00:00:00 21/11/2007,      12.924,    100
00:00:00 22/11/2007,      12.933,    100
00:00:00 23/11/2007,      12.936,    100
00:00:00 24/11/2007,      12.933,    100
00:00:00 25/11/2007,      12.927,    100
00:00:00 26/11/2007,      12.923,    100
00:00:00 27/11/2007,      12.936,    100
00:00:00 28/11/2007,      12.950,    100
00:00:00 29/11/2007,      12.948,    100
00:00:00 30/11/2007,      12.941,    100
00:00:00 01/12/2007,      12.937,    100
00:00:00 02/12/2007,      12.930,    100
00:00:00 03/12/2007,      12.927,    100
00:00:00 04/12/2007,      12.917,    100
00:00:00 05/12/2007,      12.920,    100
00:00:00 06/12/2007,      12.923,    100
00:00:00 07/12/2007,      12.920,    100
00:00:00 08/12/2007,      12.916,    100
00:00:00 09/12/2007,      12.916,    100
00:00:00 10/12/2007,      12.915,    100
00:00:00 11/12/2007,      12.914,    100
00:00:00 12/12/2007,      12.912,    100
00:00:00 13/12/2007,      12.911,    100
00:00:00 14/12/2007,      12.914,    100
00:00:00 15/12/2007,      12.928,    100
00:00:00 16/12/2007,      12.942,    100
00:00:00 17/12/2007,      12.956,    100
00:00:00 18/12/2007,      12.968,    100
00:00:00 19/12/2007,      12.983,    100
00:00:00 20/12/2007,      13.001,    100
00:00:00 21/12/2007,      13.018,    100
00:00:00 22/12/2007,      13.020,    100
00:00:00 23/12/2007,      13.029,    100
00:00:00 24/12/2007,      13.035,    100
00:00:00 25/12/2007,      13.041,    100
00:00:00 26/12/2007,      13.042,    100
00:00:00 27/12/2007,      13.039,    100
00:00:00 28/12/2007,      13.047,    100
00:00:00 29/12/2007,      13.049,    100
00:00:00 30/12/2007,      13.055,    100
00:00:00 31/12/2007,      13.059,    100
00:00:00 01/01/2008,      13.058,    100
00:00:00 02/01/2008,      13.065,    100
00:00:00 03/01/2008,      13.081,    100
00:00:00 04/01/2008,      13.106,    100
00:00:00 05/01/2008,      13.125,    100
00:00:00 06/01/2008,      13.140,    100
00:00:00 07/01/2008,      13.154,    100
00:00:00 08/01/2008,      13.166,    100
00:00:00 09/01/2008,      13.184,    100
00:00:00 10/01/2008,      13.207,    100
00:00:00 11/01/2008,      13.222,    100
00:00:00 12/01/2008,      13.237,    100
00:00:00 13/01/2008,      13.380,    100
00:00:00 14/01/2008,      13.538,    100
00:00:00 15/01/2008,      13.597,    100
00:00:00 16/01/2008,      13.472,    100
00:00:00 17/01/2008,      13.337,    100
00:00:00 18/01/2008,      13.307,    100
00:00:00 19/01/2008,      13.286,    100
00:00:00 20/01/2008,      13.277,    100
00:00:00 21/01/2008,      13.276,    100
00:00:00 22/01/2008,      13.294,    100
00:00:00 23/01/2008,      13.307,    100
00:00:00 24/01/2008,      13.325,    100
00:00:00 25/01/2008,      13.348,    100
00:00:00 26/01/2008,      13.366,    100
00:00:00 27/01/2008,      13.382,    100
00:00:00 28/01/2008,      13.397,    100
00:00:00 29/01/2008,      13.409,    100
00:00:00 30/01/2008,      13.577,    100
00:00:00 31/01/2008,      13.760,    100
00:00:00 01/02/2008,      13.793,    100
00:00:00 02/02/2008,      13.807,    100
00:00:00 03/02/2008,      13.713,    100
00:00:00 04/02/2008,      13.470,    100
00:00:00 05/02/2008,      13.436,    100
00:00:00 06/02/2008,      13.424,    100
00:00:00 07/02/2008,      13.406,    100
00:00:00 08/02/2008,      13.373,    100
00:00:00 09/02/2008,      13.314,    100
00:00:00 10/02/2008,      13.249,    100
00:00:00 11/02/2008,      13.188,    100
00:00:00 12/02/2008,      13.133,    100
00:00:00 13/02/2008,      13.093,    100
00:00:00 14/02/2008,      13.066,    100
00:00:00 15/02/2008,      13.040,    100
00:00:00 16/02/2008,      13.018,    100
00:00:00 17/02/2008,      12.998,    100
00:00:00 18/02/2008,      12.982,    100
00:00:00 19/02/2008,      12.980,    100
00:00:00 20/02/2008,      12.983,    100
00:00:00 21/02/2008,      13.063,    100
00:00:00 22/02/2008,      13.334,    100
00:00:00 23/02/2008,      13.217,    100
00:00:00 24/02/2008,      13.091,    100
00:00:00 25/02/2008,      13.337,    100
00:00:00 26/02/2008,      13.349,    100
00:00:00 27/02/2008,      13.120,    100
00:00:00 28/02/2008,      13.064,    100
00:00:00 29/02/2008,      13.049,    100
00:00:00 01/03/2008,      13.035,    100
00:00:00 02/03/2008,      13.025,    100
00:00:00 03/03/2008,      13.012,    100
00:00:00 04/03/2008,      13.003,    100
00:00:00 05/03/2008,      13.002,    100
00:00:00 06/03/2008,      13.004,    100
00:00:00 07/03/2008,      13.009,    100
00:00:00 08/03/2008,      13.024,    100
00:00:00 09/03/2008,      13.052,    100
00:00:00 10/03/2008,      13.210,    100
00:00:00 11/03/2008,      13.433,    100
00:00:00 12/03/2008,      13.490,    100
00:00:00 13/03/2008,      13.494,    100
00:00:00 14/03/2008,      13.224,    100
00:00:00 15/03/2008,      13.165,    100
00:00:00 16/03/2008,      13.146,    100
00:00:00 17/03/2008,      13.130,    100
00:00:00 18/03/2008,      13.116,    100
00:00:00 19/03/2008,      13.101,    100
00:00:00 20/03/2008,      13.088,    100
00:00:00 21/03/2008,      13.089,    100
00:00:00 22/03/2008,      13.086,    100
00:00:00 23/03/2008,      13.082,    100
00:00:00 24/03/2008,      13.080,    100
00:00:00 25/03/2008,      13.075,    100
00:00:00 26/03/2008,      13.078,    100
00:00:00 27/03/2008,      13.076,    100
00:00:00 28/03/2008,      13.073,    100
00:00:00 29/03/2008,      13.069,    100
00:00:00 30/03/2008,      13.071,    100
00:00:00 31/03/2008,      13.072,    100
00:00:00 01/04/2008,      13.070,    100
00:00:00 02/04/2008,      13.062,    100
00:00:00 03/04/2008,      13.057,    100
00:00:00 04/04/2008,      13.065,    100
00:00:00 05/04/2008,      13.068,    100
00:00:00 06/04/2008,      13.068,    100
00:00:00 07/04/2008,      13.064,    100
00:00:00 08/04/2008,      13.062,    100
00:00:00 09/04/2008,      13.058,    100
00:00:00 10/04/2008,      13.057,    100
00:00:00 11/04/2008,      13.061,    100
00:00:00 12/04/2008,      13.086,    100
00:00:00 13/04/2008,      13.080,    100
00:00:00 14/04/2008,      13.060,    100
00:00:00 15/04/2008,      13.059,    100
00:00:00 16/04/2008,      13.059,    100
00:00:00 17/04/2008,      13.053,    100
00:00:00 18/04/2008,      13.052,    100
00:00:00 19/04/2008,      13.052,    100
00:00:00 20/04/2008,      13.051,    100
00:00:00 21/04/2008,      13.049,    100
00:00:00 22/04/2008,      13.050,    100
00:00:00 23/04/2008,      13.051,    100
00:00:00 24/04/2008,      13.045,    100
00:00:00 25/04/2008,      13.044,    100
00:00:00 26/04/2008,      13.041,    100
00:00:00 27/04/2008,      13.036,    100
00:00:00 28/04/2008,      13.052,    100
00:00:00 29/04/2008,      13.059,    100
00:00:00 30/04/2008,      13.056,    100
00:00:00 01/05/2008,      13.049,    100
00:00:00 02/05/2008,      13.046,    100
00:00:00 03/05/2008,      13.046,    100
00:00:00 04/05/2008,      13.044,    100
00:00:00 05/05/2008,      13.043,    100
00:00:00 06/05/2008,      13.042,    100
00:00:00 07/05/2008,      13.062,    100
00:00:00 08/05/2008,      13.090,    100
00:00:00 09/05/2008,      13.107,    100
00:00:00 10/05/2008,      13.119,    100
00:00:00 11/05/2008,      13.124,    100
00:00:00 12/05/2008,      13.132,    100
00:00:00 13/05/2008,      13.137,    100
00:00:00 14/05/2008,      13.142,    100
00:00:00 15/05/2008,      13.143,    100
00:00:00 16/05/2008,      13.141,    100
00:00:00 17/05/2008,      13.146,    100
00:00:00 18/05/2008,      13.170,    100
00:00:00 19/05/2008,      13.189,    100
00:00:00 20/05/2008,      13.202,    100
00:00:00 21/05/2008,      13.213,    100
00:00:00 22/05/2008,      13.231,    100
00:00:00 23/05/2008,      13.243,    100
00:00:00 24/05/2008,      13.229,    100
00:00:00 25/05/2008,      13.230,    100
00:00:00 26/05/2008,      13.228,    100
00:00:00 27/05/2008,      13.203,    100
00:00:00 28/05/2008,      13.181,    100
00:00:00 29/05/2008,      13.168,    100
00:00:00 30/05/2008,      13.159,    100
00:00:00 31/05/2008,      13.149,    100
00:00:00 01/06/2008,      13.145,    100
00:00:00 02/06/2008,      13.142,    100
00:00:00 03/06/2008,      13.132,    100
00:00:00 04/06/2008,      13.134,    100
00:00:00 05/06/2008,      13.138,    100
00:00:00 06/06/2008,      13.139,    100
00:00:00 07/06/2008,      13.141,    100
00:00:00 08/06/2008,      13.145,    100
00:00:00 09/06/2008,      13.141,    100
00:00:00 10/06/2008,      13.143,    100
00:00:00 11/06/2008,      13.139,    100
00:00:00 12/06/2008,      13.137,    100
00:00:00 13/06/2008,      13.134,    100
00:00:00 14/06/2008,      13.142,    100
00:00:00 15/06/2008,      13.142,    100
00:00:00 16/06/2008,      13.142,    100
00:00:00 17/06/2008,      13.143,    100
00:00:00 18/06/2008,      13.139,    100
00:00:00 19/06/2008,      13.132,    100
00:00:00 20/06/2008,      13.137,    100
00:00:00 21/06/2008,      13.138,    100
00:00:00 22/06/2008,      13.135,    100
00:00:00 23/06/2008,      13.133,    100
00:00:00 24/06/2008,      13.131,    100
00:00:00 25/06/2008,      13.132,    100
00:00:00 26/06/2008,      13.131,    100
00:00:00 27/06/2008,      13.137,    100
00:00:00 28/06/2008,      13.137,    100
00:00:00 29/06/2008,      13.137,    100
00:00:00 30/06/2008,      13.133,    100
00:00:00 01/07/2008,      13.137,    100
00:00:00 02/07/2008,      13.141,    100
00:00:00 03/07/2008,      13.144,    100
00:00:00 04/07/2008,      13.142,    100
00:00:00 05/07/2008,      13.142,    100
00:00:00 06/07/2008,      13.137,    100
00:00:00 07/07/2008,      13.131,    100
00:00:00 08/07/2008,      13.130,    100
00:00:00 09/07/2008,      13.132,    100
00:00:00 10/07/2008,      13.128,    100
00:00:00 11/07/2008,      13.130,    100
00:00:00 12/07/2008,      13.129,    100
00:00:00 13/07/2008,      13.126,    100
00:00:00 14/07/2008,      13.122,    100
00:00:00 15/07/2008,      13.124,    100
00:00:00 16/07/2008,      13.123,    100
00:00:00 17/07/2008,      13.118,    100
00:00:00 18/07/2008,      13.119,    100
00:00:00 19/07/2008,      13.121,    100
00:00:00 20/07/2008,      13.110,    100
00:00:00 21/07/2008,      13.115,    100
00:00:00 22/07/2008,      13.125,    100
00:00:00 23/07/2008,      13.123,    100
00:00:00 24/07/2008,      13.115,    100
00:00:00 25/07/2008,      13.111,    100
00:00:00 26/07/2008,      13.110,    100
00:00:00 27/07/2008,      13.105,    100
00:00:00 28/07/2008,      13.108,    100
00:00:00 29/07/2008,      13.112,    100
00:00:00 30/07/2008,      13.112,    100
00:00:00 31/07/2008,      13.111,    100
00:00:00 01/08/2008,      13.102,    100
00:00:00 02/08/2008,      13.111,    100
00:00:00 03/08/2008,      13.110,    100
00:00:00 04/08/2008,      13.108,    100
00:00:00 05/08/2008,      13.104,    100
00:00:00 06/08/2008,      13.105,    100
00:00:00 07/08/2008,      13.108,    100
00:00:00 08/08/2008,      13.139,    100
00:00:00 09/08/2008,      13.163,    100
00:00:00 10/08/2008,      13.175,    100
00:00:00 11/08/2008,      13.195,    100
00:00:00 12/08/2008,      13.210,    100
00:00:00 13/08/2008,      13.224,    100
00:00:00 14/08/2008,      13.230,    100
00:00:00 15/08/2008,      13.234,    100
00:00:00 16/08/2008,      13.226,    100
00:00:00 17/08/2008,      13.212,    100
00:00:00 18/08/2008,      13.206,    100
00:00:00 19/08/2008,      13.200,    100
00:00:00 20/08/2008,      13.192,    100
00:00:00 21/08/2008,      13.182,    100
00:00:00 22/08/2008,      13.177,    100
00:00:00 23/08/2008,      13.189,    100
00:00:00 24/08/2008,      13.192,    100
00:00:00 25/08/2008,      13.188,    100
00:00:00 26/08/2008,      13.185,    100
00:00:00 27/08/2008,      13.184,    100
00:00:00 28/08/2008,      13.186,    100
00:00:00 29/08/2008,      13.184,    100
00:00:00 30/08/2008,      13.181,    100
00:00:00 31/08/2008,      13.178,    100
00:00:00 01/09/2008,      13.188,    100
00:00:00 02/09/2008,      13.191,    100
00:00:00 03/09/2008,      13.191,    100
00:00:00 04/09/2008,      13.190,    100
00:00:00 05/09/2008,      13.176,    100
00:00:00 06/09/2008,      13.183,    100
00:00:00 07/09/2008,      13.189,    100
00:00:00 08/09/2008,      13.193,    100
00:00:00 09/09/2008,      13.198,    100
00:00:00 10/09/2008,      13.196,    100
00:00:00 11/09/2008,      13.193,    100
00:00:00 12/09/2008,      13.191,    100
00:00:00 13/09/2008,      13.191,    100
00:00:00 14/09/2008,      13.189,    100
00:00:00 15/09/2008,      13.188,    100
00:00:00 16/09/2008,      13.197,    100
00:00:00 17/09/2008,      13.197,    100
00:00:00 18/09/2008,      13.192,    100
00:00:00 19/09/2008,      13.190,    100
00:00:00 20/09/2008,      13.186,    100
00:00:00 21/09/2008,      13.188,    100
00:00:00 22/09/2008,      13.179,    100
00:00:00 23/09/2008,      13.179,    100
00:00:00 24/09/2008,      13.189,    100
00:00:00 25/09/2008,      13.187,    100
00:00:00 26/09/2008,      13.182,    100
00:00:00 27/09/2008,      13.176,    100
00:00:00 28/09/2008,      13.170,    100
00:00:00 29/09/2008,      13.177,    100
00:00:00 30/09/2008,      13.182,    100
00:00:00 01/10/2008,      13.182,    100
00:00:00 02/10/2008,      13.183,    100
00:00:00 03/10/2008,      13.178,    100
00:00:00 04/10/2008,      13.175,    100
00:00:00 05/10/2008,      13.170,    100
00:00:00 06/10/2008,      13.161,    100
00:00:00 07/10/2008,      13.171,    100
00:00:00 08/10/2008,      13.170,    100
00:00:00 09/10/2008,      13.171,    100
00:00:00 10/10/2008,      13.171,    100
00:00:00 11/10/2008,      13.168,    100
00:00:00 12/10/2008,      13.161,    100
00:00:00 13/10/2008,      13.158,    100
00:00:00 14/10/2008,      13.154,    100
00:00:00 15/10/2008,      13.155,    100
00:00:00 16/10/2008,      13.166,    100
00:00:00 17/10/2008,      13.173,    100
00:00:00 18/10/2008,      13.158,    100
00:00:00 19/10/2008,      13.154,    100
00:00:00 20/10/2008,      13.157,    100
00:00:00 21/10/2008,      13.182,    100
00:00:00 22/10/2008,      13.212,    100
00:00:00 23/10/2008,      13.206,    100
00:00:00 24/10/2008,      13.191,    100
00:00:00 25/10/2008,      13.177,    100
00:00:00 26/10/2008,      13.170,    100
00:00:00 27/10/2008,      13.171,    100
00:00:00 28/10/2008,      13.182,    100
00:00:00 29/10/2008,      13.183,    100
00:00:00 30/10/2008,      13.185,    100
00:00:00 31/10/2008,      13.179,    100
00:00:00 01/11/2008,      13.200,    100
00:00:00 02/11/2008,      13.212,    100
00:00:00 03/11/2008,      13.218,    100
00:00:00 04/11/2008,      13.220,    100
00:00:00 05/11/2008,      13.214,    100
00:00:00 06/11/2008,      13.207,    100
00:00:00 07/11/2008,      13.198,    100
