Index,U.sw_419051,C.sw_419051,E.sw_419051,Q.sw_419051,Qq.sw_419051,Qs.sw_419051,Qd.sw_419051,G.gw_shallow,G.gw_deep,Uq.sw_419051,Us.sw_419051,Ud.sw_419051,R.gw_shallow,R.gw_deep,Gf.GwFlow,swE.sw_419051,S.gw_shallow,S.gw_deep,Glevel.gw_shallow.GW030130_1,Glevel.gw_shallow.GW030131_1,Glevel.gw_shallow.GW030132_2,Glevel.gw_shallow.GW036186_1,Glevel.gw_shallow.GW036187_1,Glevel.gw_deep.GW030129_1,Glevel.gw_deep.GW030130_2,Glevel.gw_deep.GW030133_1,Glevel.gw_deep.GW030134_1
1969-01-18,2343.4047831732,224590.070707215,4379.7723677142,1158.6951938711,1230.3936101546,0,5.6354025601,1643.261325596,0,2343.4047831732,0,87.4568257482,94.0899029574,0,0,0,1643.261325596,-65.4025019351,-5.1718618017,-5.3060587873,-5.9362145592,-9.1787142449,-7.948135743,0,0,0,0
1969-01-19,3747.5998392169,222523.91375428,4591.6016477142,1976.425895067,2102.428259854,0,6.1413694111,1790.7992786162,0,3747.5998392169,0,138.6615601346,153.6793224314,0,0,0,1790.7992786162,-71.5438713462,-5.1580479215,-5.289625014,-5.9107868874,-9.0983363552,-7.8946475539,0,0,0,0
1969-01-20,288.356050326,226528.734749461,4523.7076477142,1387.8551161863,1473.9800200948,0,6.5190296363,1900.9235218653,0,288.356050326,0,10.75729714,116.6432728853,0,0,0,1900.9235218653,-78.0629009825,-5.147737062,-5.2773586323,-5.8918073431,-9.0383412551,-7.8547232753,0,0,0,0
1969-01-21,0,231150.209757175,4621.4750077142,909.5877724367,963.349768331,0,6.7873403931,1979.1618882004,0,0,0,0,85.0257067283,0,0,0,1979.1618882004,-84.8502413756,-5.1404116559,-5.2686439149,-5.8783232228,-8.9957174105,-7.8263588549,0,0,0,0
1969-01-22,0,235836.863004889,4686.6532477142,597.0237443249,629.6169306853,0,6.9800699185,2035.36106331,0,0,0,0,63.1792450281,0,0,0,2035.36106331,-91.8303112941,-5.1351497646,-5.2623840713,-5.8686374833,-8.9651003998,-7.8059844899,0,0,0,0
1969-01-23,0,240648.441212603,4811.5782077142,392.7544259234,411.499013585,0,7.1193228043,2075.966659696,0,0,0,0,47.7249191904,0,0,0,2075.966659696,-98.9496340985,-5.1313478897,-5.2578611458,-5.8616392448,-8.9429786875,-7.7912633976,0,0,0,0
1969-01-24,0,245642.426337556,4993.9851249532,259.2594093082,268.9435908229,0,7.2197057944,2105.2379466111,0,0,0,0,36.4909927095,0,0,0,2105.2379466111,-106.1693398928,-5.1286072386,-5.2546007123,-5.8565944366,-8.9270318466,-7.780651429,0,0,0,0
1969-01-25,25.7237750652,250252.427863021,4673.0744477142,180.3701145639,184.6850567443,0,7.2930510695,2126.6251417191,0,25.7237750652,0,1.1833026854,28.6802461775,0,0,0,2126.6251417191,-113.4623909623,-5.1266047698,-5.2522184621,-5.8529084251,-8.9153802168,-7.7728977473,0,0,0,0
1969-01-26,109.4418121605,254902.823918494,4936.5031677142,156.0010744806,158.6185725305,0,7.3521408137,2143.8554798089,0,109.4418121605,0,5.2710755986,24.5824789035,0,0,0,2143.8554798089,-120.814531776,-5.1249915047,-5.2502992307,-5.8499388341,-8.9059932205,-7.7666510862,0,0,0,0
1969-01-27,23.3460085477,259719.561197441,4882.1879677142,112.1244585127,111.7561575305,0,7.3925006933,2155.6242627113,0,23.3460085477,0,1.1833026854,19.1612835958,0,0,0,2155.6242627113,-128.2070324693,-5.1238896014,-5.2489883442,-5.8479105238,-8.8995816504,-7.7623844493,0,0,0,0
1969-01-28,0,264609.896445156,4890.3352477142,75.8657640565,73.0405209018,0,7.4160524412,2162.4918601999,0,0,0,0,14.2836499298,0,0,0,2162.4918601999,-135.6230849106,-5.1232465928,-5.2482233848,-5.8467269164,-8.8958402199,-7.7598946807,0,0,0,0
1969-01-29,0,269060.27857287,4450.3821277142,52.1627893318,47.7371252868,0,7.4260812842,2165.4162315588,0,0,0,0,10.3504526431,0,0,0,2165.4162315588,-143.0491661948,-5.1229727859,-5.2478976486,-5.8462229108,-8.894247038,-7.7588344835,0,0,0,0
1969-01-30,0,273258.095020584,4197.8164477142,36.6636018295,31.1995739148,0,7.425011926,2165.1044108941,0,0,0,0,7.1131912613,0,0,0,2165.1044108941,-150.4741781208,-5.1230019815,-5.2479323813,-5.846276652,-8.8944169163,-7.7589475305,0,0,0,0
1969-01-31,0,277673.172268298,4415.0772477142,26.5241699501,20.39111921,0,7.4146919206,2162.0951377208,0,0,0,0,4.4054187473,0,0,0,2162.0951377208,-157.8888700415,-5.1232837377,-5.2482675745,-5.8467952902,-8.8960563522,-7.7600385079,0,0,0,0
1969-02-01,0,282192.374537958,4519.2022696598,19.8859630289,13.3270327271,0,7.3965730903,2156.811757731,0,0,0,0,2.1131931006,0,0,0,2156.811757731,-165.2854431318,-5.123778417,-5.248856073,-5.847705863,-8.8989347095,-7.7619539366,0,0,0,0
1969-02-02,0,286403.958518378,4211.5839804202,15.5345242265,8.7101546257,0,7.3718281655,2149.5962345364,0,0,0,0,0.1563049709,0,0,0,2149.5962345364,-172.6572712973,-5.1244540017,-5.2496597867,-5.8489494343,-8.902865688,-7.7645698416,0,0,0,0
